epoch,current,desired,ready,cpu_pct,spec
1790283082,2,2,2,,2
1790283084,2,2,2,1,2
1790283086,2,2,2,1,2
1790283088,2,2,2,1,2
1790283090,2,2,2,1,2
1790283092,2,2,2,1,2
1790283094,2,2,2,1,2
1790283096,2,2,2,1,2
1790283099,2,2,2,1,2
1790283101,2,2,2,1,2
1790283103,2,2,2,1,2
1790283105,2,2,2,1,2
1790283107,2,2,2,1,2
1790283109,2,2,2,1,2
1790283111,2,2,2,1,2
1790283113,2,2,2,3,2
1790283115,2,2,2,3,2
1790283117,2,2,2,3,2
1790283120,2,2,2,3,2
1790283122,2,2,2,3,2
1790283124,2,2,2,3,2
1790283126,2,2,2,3,2
1790283128,2,2,2,3,2
1790283130,2,2,2,11,2
1790283132,2,2,2,11,2
1790283134,2,2,2,11,2
1790283137,2,2,2,11,2
1790283139,2,2,2,11,2
1790283141,2,2,2,11,2
1790283143,2,2,2,11,2
1790283145,2,2,2,14,2
1790283147,2,2,2,14,2
1790283149,2,2,2,14,2
1790283151,2,2,2,14,2
1790283154,2,2,2,14,2
1790283156,2,2,2,14,2
1790283158,2,2,2,14,2
1790283160,2,4,2,107,4
1790283162,2,4,2,107,4
1790283164,2,4,2,107,4
1790283167,2,4,2,107,4
1790283169,2,4,4,107,4
1790283171,2,4,4,107,4
1790283173,2,4,4,107,4
1790283175,4,7,4,193,7
1790283177,4,7,4,193,7
1790283179,4,7,4,193,7
1790283182,4,7,4,193,7
1790283184,4,7,7,193,7
1790283186,4,7,7,193,7
1790283188,4,7,7,193,7
1790283190,7,7,7,206,7
1790283192,7,7,7,206,7
1790283195,7,7,7,206,7
1790283197,7,7,7,206,7
1790283199,7,7,7,206,7
1790283201,7,7,7,206,7
1790283203,7,7,7,206,7
1790283205,7,7,7,132,7
1790283207,7,7,7,132,7
1790283209,7,7,7,132,7
1790283212,7,7,7,132,7
1790283214,7,7,7,132,7
1790283216,7,7,7,132,7
1790283218,7,7,7,132,7
1790283220,7,9,7,80,9
1790283222,7,9,7,80,9
1790283225,7,9,7,80,9
1790283227,7,9,9,80,9
1790283229,7,9,9,80,9
1790283231,7,9,9,80,9
1790283233,7,9,9,80,9
1790283235,9,9,9,61,9
1790283237,9,9,9,61,9
1790283240,9,9,9,61,9
1790283242,9,9,9,61,9
1790283244,9,9,9,61,9
1790283246,9,9,9,61,9
1790283248,9,9,9,61,9
1790283250,9,9,9,65,9
1790283252,9,9,9,65,9
1790283255,9,9,9,65,9
1790283257,9,9,9,65,9
1790283259,9,9,9,65,9
1790283261,9,9,9,65,9
1790283263,9,9,9,65,9
1790283265,9,9,9,53,9
1790283267,9,9,9,53,9
1790283270,9,9,9,53,9
1790283272,9,9,9,53,9
1790283274,9,9,9,53,9
1790283276,9,9,9,53,9
1790283278,9,9,9,53,9
1790283280,9,9,9,50,9
1790283282,9,9,9,50,9
1790283285,9,9,9,50,9
1790283287,9,9,9,50,9
1790283289,9,9,9,50,9
1790283291,9,9,9,50,9
1790283293,9,9,9,50,9
1790283295,9,9,9,52,9
1790283297,9,9,9,52,9
1790283300,9,9,9,52,9
1790283302,9,9,9,52,9
1790283304,9,9,9,52,9
1790283306,9,9,9,52,9
1790283308,9,9,9,52,9
1790283310,9,9,9,51,9
1790283312,9,9,9,51,9
1790283315,9,9,9,51,9
1790283317,9,9,9,51,9
1790283319,9,9,9,51,9
1790283321,9,9,9,51,9
1790283323,9,9,9,51,9
1790283325,9,9,9,51,9
1790283327,9,9,9,51,9
1790283330,9,9,9,51,9
1790283332,9,9,9,51,9
1790283334,9,9,9,51,9
1790283336,9,9,9,51,9
1790283338,9,9,9,51,9
1790283340,9,9,9,51,9
1790283342,9,9,9,51,9
1790283344,9,9,9,51,9
1790283347,9,9,9,51,9
1790283349,9,9,9,51,9
1790283351,9,9,9,51,9
1790283353,9,9,9,51,9
1790283355,9,9,9,51,9
1790283357,9,9,9,51,9
1790283359,9,9,9,51,9
1790283362,9,9,9,51,9
1790283364,9,9,9,51,9
1790283366,9,9,9,51,9
1790283368,9,9,9,51,9
1790283370,9,9,9,50,9
1790283372,9,9,9,50,9
1790283374,9,9,9,50,9
1790283377,9,9,9,50,9
1790283379,9,9,9,50,9
1790283381,9,9,9,50,9
1790283383,9,9,9,50,9
1790283385,9,9,9,50,9
1790283387,9,9,9,50,9
1790283389,9,9,9,50,9
1790283391,9,9,9,50,9
1790283393,9,9,9,50,9
1790283396,9,9,9,50,9
1790283398,9,9,9,50,9
1790283400,9,9,9,45,9
1790283402,9,9,9,45,9
1790283404,9,9,9,45,9
1790283406,9,9,9,45,9
1790283408,9,9,9,45,9
1790283410,9,9,9,45,9
1790283412,9,9,9,45,9
1790283415,9,9,9,18,9
1790283417,9,9,9,18,9
1790283419,9,9,9,18,9
1790283421,9,9,9,18,9
1790283423,9,9,9,18,9
1790283425,9,9,9,18,9
1790283427,9,9,9,18,9
1790283429,9,9,9,4,9
1790283431,9,9,9,4,9
1790283434,9,9,9,4,9
1790283436,9,9,9,4,9
1790283438,9,9,9,4,9
1790283440,9,9,9,4,9
1790283442,9,9,9,4,9
1790283444,9,9,9,4,9
1790283446,9,9,9,4,9
1790283448,9,9,9,4,9
1790283450,9,9,9,4,9
1790283452,9,9,9,4,9
1790283455,9,9,9,4,9
1790283457,9,9,9,4,9
1790283459,9,9,9,4,9
1790283461,9,9,9,4,9
